Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Dioscoreaceae,Dioscorea,Andaman Islands,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Dioscoreaceae,Dioscorea cirrhosa,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Dioscoreaceae,Dioscorea cirrhosa,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Dioscoreaceae,Dioscorea fordii,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Dioscoreaceae,Dioscorea fordii,Hong Kong,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Dioscoreaceae,Dioscorea oppositifolia,India,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Dipterocarpaceae,Shorea roxburghii,India,HOSTS
Water Snow Flat,Hesperiidae,Tagiades litigiosa,Herb Specialist,Smilacaceae,Smilax,India,HOSTS
Suffused Double Banded Judy,Lycaenidae,Abisara bifasciata,Shrub Specialist,Myrsinaceae,Ardisia solanacea,Andaman Islands,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Bombacaceae,Bombax,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Leguminosae (p),Canavalia ensiformis,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Tiliaceae,Corchorus,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Leguminosae (p),Flemingia,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Tiliaceae,Grewia,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Sterculiaceae,Helicteres,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Euphorbiaceae,Hevea brasiliensis,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Leguminosae (p),Lathyrus,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Leguminosae (p),Mucuna,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Icacinaceae,Nothapodytes foetida,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Leguminosae (p),Paracalyx,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Tiliaceae,Triumfetta,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Leguminosae (p),Vigna unguiculata,India,HOSTS
Common Sailor,Nymphalidae,Neptis hylas,Tree Specialist,Leguminosae (m),Xylia,India,HOSTS
Blue Oak Leaf,Nymphalidae,Kallima horsfieldi,Herb Specialist,Acanthaceae,Eranthemum malabaricum,India,HOSTS
Blue Oak Leaf,Nymphalidae,Kallima horsfieldi,Herb Specialist,Acanthaceae,Strobilanthes callosus,India,HOSTS
Common Five Ring,Nymphalidae,Ypthima ceylonica,Grass Specialist,Gramineae,,India,HOSTS
Common Five Ring,Nymphalidae,Ypthima ceylonica,Grass Specialist,Gramineae,,India,HOSTS
